device_id,direction,V,t_p,P_sw,n_reps
A,AP->P,0.8,7.5e-10,0.0,100
A,AP->P,0.8200000000000001,7.5e-10,0.0,100
A,AP->P,0.84,7.5e-10,0.0,100
A,AP->P,0.86,7.5e-10,0.0,100
A,AP->P,0.88,7.5e-10,0.04,100
A,AP->P,0.9,7.5e-10,0.04,100
A,AP->P,0.92,7.5e-10,0.58,100
A,AP->P,0.9400000000000001,7.5e-10,0.78,100
A,AP->P,0.96,7.5e-10,0.72,100
A,AP->P,0.98,7.5e-10,0.72,100
A,AP->P,1.0,7.5e-10,0.72,100
A,AP->P,1.02,7.5e-10,0.86,100
A,AP->P,1.04,7.5e-10,0.84,100
A,AP->P,1.06,7.5e-10,0.88,100
A,AP->P,1.08,7.5e-10,0.9,100
A,AP->P,1.1,7.5e-10,1.0,100
A,P->AP,0.8,7.5e-10,0.0,100
A,P->AP,0.8200000000000001,7.5e-10,0.02,100
A,P->AP,0.84,7.5e-10,0.1,100
A,P->AP,0.86,7.5e-10,0.18,100
A,P->AP,0.88,7.5e-10,0.34,100
A,P->AP,0.9,7.5e-10,0.5,100
A,P->AP,0.92,7.5e-10,0.82,100
A,P->AP,0.9400000000000001,7.5e-10,0.84,100
A,P->AP,0.96,7.5e-10,0.9,100
A,P->AP,0.98,7.5e-10,0.98,100
A,P->AP,1.0,7.5e-10,0.94,100
A,P->AP,1.02,7.5e-10,1.0,100
B,AP->P,0.8,7.5e-10,0.0,100
B,AP->P,0.8200000000000001,7.5e-10,0.02,100
B,AP->P,0.84,7.5e-10,0.36,100
B,AP->P,0.86,7.5e-10,0.38,100
B,AP->P,0.88,7.5e-10,0.52,100
B,AP->P,0.9,7.5e-10,0.74,100
B,AP->P,0.92,7.5e-10,0.74,100
B,AP->P,0.9400000000000001,7.5e-10,0.92,100
B,AP->P,0.96,7.5e-10,1.0,100
B,P->AP,0.84,7.5e-10,0.0,100
B,P->AP,0.86,7.5e-10,0.1,100
B,P->AP,0.88,7.5e-10,0.18,100
B,P->AP,0.9,7.5e-10,0.4,100
B,P->AP,0.92,7.5e-10,0.84,100
B,P->AP,0.9400000000000001,7.5e-10,0.96,100
B,P->AP,0.96,7.5e-10,1.0,100
B,P->AP,0.98,7.5e-10,1.0,100
B,P->AP,1.0,7.5e-10,1.0,100
